category,subcategory,name,offset_hex,offset_decimal,size,description,type,original_value,patch_value
firmware_components,tdf_container,main_vxworks_elf,0x22C,556,3MB,Bootloader/VxWorks loader,component,,,
firmware_components,tdf_container,secondary_elf,0x303124,3158308,12MB,Main application logic,component,,,
firmware_components,tdf_container,vxworks_kernel_bin,0xF59BFC,16096252,4.6MB,VxWorks WIND kernel,component,,,
configuration,protection,mbProtectionMode,0x66d6f0,6740720,4,Primary RAID protection setting,enum,,,
configuration,capacity,mManageCapacityLEDs,0x66d710,6740752,4,LED status control flags,flags,,,
configuration,display,mbShowCapacityHostView,0x66d730,6740784,4,Host capacity display mode,boolean,,,
configuration,storage,mbLargePackMode,0x66d750,6740816,4,Large drive configuration mode,boolean,,,
configuration,ui,mLastUICallTime,0x66d770,6740848,8,UI interaction timestamp,timestamp,,,
capacity_limits,bytes,bytes_based_limit,0x65b097,6664343,8,2TB bytes-based capacity limit,uint64,2199023255552,35184372088832
capacity_limits,sectors,sectors_based_limit,0x65ada8,6662568,8,2TB sectors-based capacity limit,uint64,4294967296,68719476736
strings,zone_mgmt,zmdt_tracker,0x656d30,6646064,,Zone metadata tracker string,string,,,
strings,zone_mgmt,self_mirrored_zones,0x656d50,6646096,,Self-mirrored zones status string,string,,,
strings,zone_mgmt,zone_manager,0x6573c0,6648768,,Zone manager identifier string,string,,,
strings,disk_mgmt,disk_pack_manager,0x657390,6648720,,Disk pack manager identifier,string,,,
strings,disk_mgmt,region_size,0x657690,6649488,,Region size configuration string,string,,,
strings,protection,self_mirror_usage,0x656d80,6646144,,Self-mirror usage command string,string,,,
strings,protection,protection_mode_label,0x66d700,6740736,,Protection mode label string,string,,,
modules,management,dpm,,,,,Disk Pack Manager,module,,,
modules,management,ham,,,,,Host Access Manager,module,,,
modules,management,zm,,,,,Zone Manager,module,,,
modules,management,rm,,,,,Region Manager,module,,,
modules,management,cm,,,,,Cluster Manager,module,,,
modules,management,catm,,,,,Catalog Manager,module,,,
kernel,signature,wind_signature,0xF59BFC,16096252,4,VxWorks kernel identifier,signature,,,
debug,cache,host_lba_cache,,,,,Host LBA cache tracker,debug_string,,,
debug,cache,zone_metadata,,,,,Zone metadata tracker,debug_string,,,
debug,cache,disk_lba_cache,,,,,Disk LBA cache tracker,debug_string,,,
flash,config,config_identifier,,,,,Flash configuration identifier,config_string,,,
flash,config,clear_disk_setting,,,,,Clear disk configuration,config_string,,,
flash,config,demo_mode_flag,,,,,Demo mode flag,config_string,,